player_name,predicted_points
Sam Darnold,71.56836
Aaron Jones,71.49875
Brandon Powell,71.294556
Tyreek Hill,71.23301
Darius Slayton,70.97404
Gus Edwards,70.52665
James Cook,70.446976
Kareem Hunt,70.23552
Tony Pollard,70.14201
Diontae Johnson,70.05017
Cedrick Wilson,70.05017
Travis Kelce,70.031265
Jaleel McLaughlin,69.99918
Quentin Johnston,69.78035
George Kittle,69.63509
Stefon Diggs,69.32411
Josh Reynolds,69.21327
Tyler Boyd,69.03448
Raheem Mostert,69.013084
Devin Singletary,68.11718
Calvin Ridley,68.05984
D'Andre Swift,68.02931
Tank Dell,67.61448
DeAndre Hopkins,67.58406
Elijah Mitchell,67.47691
Chris Rodriguez,67.47691
Darnell Mooney,67.40844
Tommy DeVito,67.2959
Baker Mayfield,67.22563
Brock Purdy,67.22563
Noah Brown,67.20584
Rashee Rice,66.92458
Brandon Aiyuk,66.560265
D.J. Moore,66.33962
Jake Browning,66.014496
Mack Hollins,65.7309
Alec Ingold,65.66467
Dyami Brown,65.45673
Jaxon Smith-Njigba,64.99193
Curtis Samuel,64.834656
Isaiah Hodgins,64.69379
Jahmyr Gibbs,64.470215
Kyle Pitts,64.43324
Mason Rudolph,64.307846
Robert Woods,64.28639
Dalton Schultz,64.26073
Dallas Goedert,64.16938
Michael Gallup,64.00903
Jahan Dotson,64.00903
Gabriel Davis,63.911602
Ezekiel Elliott,63.814697
Jaylen Waddle,63.60754
Dorian Thompson-Robinson,63.49131
Najee Harris,63.341415
Kalif Raymond,63.165337
Deven Thompkins,63.068237
Kendrick Bourne,62.833515
Demario Douglas,62.322083
De'Von Achane,61.649002
Andrew Ogletree,61.28598
Joshua Palmer,61.13068
K.J. Osborn,61.007736
Jonathan Mingo,61.007736
Braxton Berrios,60.87835
Cooper Kupp,60.655056
Elijah Moore,60.585873
Marquise Brown,60.44937
Will Levis,60.342407
D'Onta Foreman,60.168995
Deebo Samuel,60.077534
Cole Kmet,59.520905
Jakobi Meyers,59.51856
Chigoziem Okonkwo,59.498318
Durham Smythe,59.427628
Austin Hooper,59.427628
Khalil Shakir,59.018173
David Bell,58.57695
DeVonta Smith,58.42688
Adam Trautman,58.00505
Josh Downs,57.91215
Desmond Ridder,57.80006
Cedric Tillman,57.791416
Christian Watson,56.673607
Nico Collins,56.365437
George Pickens,56.356495
Andrew Beck,56.336132
Rashid Shaheed,55.598885
Bo Melton,55.584602
Jake Bobo,55.118
Ben Skowronek,54.963146
Noah Fant,54.06745
Demarcus Robinson,53.96473
Justin Watson,53.204067
Jonnu Smith,53.069965
Jauan Jennings,52.886868
Evan Engram,52.69501
Khalil Herbert,52.540726
Zay Flowers,52.244156
Jameson Williams,51.80195
Trey McBride,51.690113
Kyle Trask,51.570587
Nelson Agholor,51.54327
John Metchie,50.99655
Hunter Henry,50.6852
Mark Andrews,50.66931
Johnny Mundt,50.66931
Cam Akers,50.596584
Cam Akers,50.596584
Gerald Everett,50.295666
Taysom Hill,50.207153
Colby Parkinson,49.931885
T.J. Hockenson,49.8058
Brock Wright,49.8058
Luke Musgrave,49.8058
Terrace Marshall,49.72576
Jayden Reed,49.693447
Malik Heath,49.559307
Justice Hill,49.518257
David Njoku,49.480892
Jake Ferguson,49.480892
Dawson Knox,49.153347
Carson Wentz,49.144405
Calvin Austin III,49.08971
Zach Charbonnet,49.07188
Ty Chandler,49.07188
Tim Boyle,48.846867
Cordarrelle Patterson,48.828655
Sam LaPorta,48.8163
Davis Allen,48.68051
David Moore,48.613052
Jerick McKinnon,48.607903
Roschon Johnson,48.54762
Tyler Allgeier,48.423744
Brevin Jordan,48.10337
Greg Dortch,48.060555
Clayton Tune,47.902428
Zack Moss,47.39274
Craig Reynolds,47.39274
Wan'Dale Robinson,47.26644
Emari Demercado,47.18709
Cade Otton,46.742596
D'Ernest Johnson,45.449047
Jalin Hyatt,45.1055
Marquez Valdes-Scantling,45.1055
Odell Beckham,45.1055
Trey Palmer,44.985054
Puka Nacua,44.82224
Isaiah Likely,44.76369
Kyle Allen,44.215904
Tee Higgins,43.774975
Deonte Harty,43.774975
Michael Wilson,43.774975
Jalen Tolbert,43.774975
Juwan Johnson,43.459625
Darrynton Evans,43.320335
Darrynton Evans,43.320335
Rashod Bateman,42.852894
Jacoby Brissett,42.74949
Tyrod Taylor,41.972244
Irv Smith,41.704887
Latavius Murray,41.619923
Christopher Brooks,41.49853
Mitchell Trubisky,41.389282
Jordan Mason,41.368156
Nick Chubb,41.36639
Mecole Hardman,41.328438
Rico Dowdle,41.206486
Keaton Mitchell,40.853413
Zamir White,40.853413
Michael Carter,40.61967
Michael Carter,40.61967
Tyson Bagent,40.612038
Derius Davis,40.45959
Ty Johnson,40.16177
Emanuel Wilson,40.16177
Jeffery Wilson,40.16177
Kendre Miller,40.16177
Pierre Strong Jr.,40.16177
Mike Gesicki,40.12149
Tyler Higbee,40.12149
Tyler Huntley,39.99252
Teddy Bridgewater,39.684868
Connor Heyward,39.56032
Tutu Atwell,39.298584
Joshua Kelley,39.2944
Chase Claypool,39.241768
Pat Freiermuth,38.470463
Foster Moreau,38.470463
Kylen Granson,38.470463
Drew Sample,38.470463
Noah Gray,38.470463
Marcus Mariota,38.361103
Ke'Shawn Vaughn,38.322144
Lil'Jordan Humphrey,38.088505
Brenton Strange,37.932384
Daniel Bellinger,37.505
Creed Humphrey,37.450073
Tanner Hudson,37.322235
David Montgomery,37.049953
Samaje Perine,36.793003
Jameis Winston,36.54335
Harrison Bryant,36.205803
Trey Sermon,36.20446
Dalvin Cook,35.73164
Tre Tucker,35.461906
Van Jefferson,35.17983
Van Jefferson,35.17983
Hayden Hurst,34.505016
KaVontae Turpin,34.355644
Tyler Conklin,34.13114
Nick Westbrook-Ikhine,34.12306
Laviska Shenault,33.9956
Ben Sims,33.95022
Charlie Jones,33.820286
Charlie Kolar,33.700516
Malik Willis,33.631573
Cooper Rush,33.326637
Davis Mills,33.235424
Tim Jones,32.899956
J.K. Dobbins,32.74045
Aaron Rodgers,32.645607
Zay Jones,32.224773
Donovan Peoples-Jones,32.224773
Xavier Gipson,32.046047
Marvin Mims,32.00152
Kadarius Toney,31.921345
DeAndre Carter,31.896084
CeeDee Lamb,31.815666
Chris Conley,31.59778
Skyy Moore,31.470026
KhaDarel Hodge,31.255922
C.J. Ham,31.210379
Rakim Jarrett,31.059706
Britain Covey,31.059706
Richie James,30.717848
Mike Williams,30.46205
Trenton Irwin,30.259947
Scotty Miller,30.259947
Parker Washington,30.259947
Jamison Crowder,30.259947
Olamide Zaccheaus,30.016718
Simi Fehoko,30.016718
Julio Jones,30.016718
Tyler Scott,29.997137
Tyquan Thornton,29.997137
Xavier Hutchinson,29.997137
Austin Trammell,29.836618
Will Mallory,29.73509
DeeJay Dallas,29.379406
Josh Oliver,29.197012
Jalen Reagor,29.154413
Dee Eskridge,29.001944
Parris Campbell,28.79363
Ronnie Bell,28.79363
Trent Sherfield,28.79363
River Cracraft,28.79363
Quez Watkins,28.79363
Sterling Shepard,28.658247
Ray-Ray McCloud,28.453283
Patrick Taylor,28.156324
Dare Ogunbowale,28.156324
Eric Gray,28.156324
Ronnie Rivers,28.156324
Tucker Kraft,28.031925
Tony Jones,27.92994
Tony Jones,27.92994
John Bates,27.83681
Mike White,27.760773
Devin Duvernay,27.63307
Deuce Vaughn,27.536804
Zach Ertz,27.459497
Hunter Luepke,27.427746
Robbie Chosen,26.843523
Deon Jackson,26.796839
Elijah Higgins,26.671719
Michael Mayer,26.671719
Darnell Washington,26.659737
Mo Alie-Cox,26.659737
Treylon Burks,26.468035
